number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_optimizer_type,params_scheduler_type,params_weight_decay,state
0,22.85,2025-10-15 22:06:27.530851,2025-10-15 22:07:45.241449,0 days 00:01:17.710598,256,0.0005611516415334506,adam,cosine,0.0007969454818643932,COMPLETE
1,25.49,2025-10-15 22:07:45.245374,2025-10-15 22:08:56.351972,0 days 00:01:11.106598,512,0.0026070247583707684,adam,cosine,1.0994335574766187e-05,COMPLETE
2,25.03,2025-10-15 22:08:56.358463,2025-10-15 22:10:14.171759,0 days 00:01:17.813296,256,0.0007309539835912913,adam,none,3.8234752246751835e-05,COMPLETE
3,25.63,2025-10-15 22:10:14.174583,2025-10-15 22:11:31.503440,0 days 00:01:17.328857,256,0.0010677482709481358,adamw,cosine,0.00015304852121831474,COMPLETE
4,24.5,2025-10-15 22:11:31.507354,2025-10-15 22:12:48.899473,0 days 00:01:17.392119,256,0.0004066563313514797,adam,none,1.5679933916722995e-05,COMPLETE
5,23.45,2025-10-15 22:12:48.902664,2025-10-15 22:13:17.540567,0 days 00:00:28.637903,256,0.0021137059440645744,adamw,none,4.201672054372529e-05,PRUNED
6,25.33,2025-10-15 22:13:17.541628,2025-10-15 22:15:09.017350,0 days 00:01:51.475722,512,0.0015696396388661157,adamw,none,0.0006978281265126031,COMPLETE
7,19.0,2025-10-15 22:15:09.020472,2025-10-15 22:15:29.798914,0 days 00:00:20.778442,128,0.0005170191786366995,adam,cosine,3.6464395589807184e-05,PRUNED
8,8.03,2025-10-15 22:15:29.800552,2025-10-15 22:16:08.552834,0 days 00:00:38.752282,512,0.00010257563974185662,adamw,cosine,0.0004274869455295214,PRUNED
9,23.75,2025-10-15 22:16:08.554072,2025-10-15 22:17:14.537776,0 days 00:01:05.983704,256,0.0017643967683381545,adamw,none,4.589824181495648e-05,PRUNED
10,22.92,2025-10-15 22:17:14.538876,2025-10-15 22:18:18.393931,0 days 00:01:03.855055,256,0.003478437858555604,adamw,cosine,0.0007073818830740226,PRUNED
11,24.23,2025-10-15 22:18:18.394994,2025-10-15 22:19:23.277955,0 days 00:01:04.882961,512,0.003919720505655301,adam,cosine,1.760542933531252e-05,PRUNED
12,20.09,2025-10-15 22:19:23.279119,2025-10-15 22:20:20.224407,0 days 00:00:56.945288,256,0.0008812963124197845,adamw,cosine,0.00012501596820911184,PRUNED
13,15.03,2025-10-15 22:20:20.225693,2025-10-15 22:21:14.811950,0 days 00:00:54.586257,512,0.000478437172139376,adam,cosine,1.7278923462174645e-05,PRUNED
14,20.86,2025-10-15 22:21:14.813473,2025-10-15 22:22:12.819581,0 days 00:00:58.006108,256,0.006407268275442736,adam,cosine,0.00012081025510378924,PRUNED
15,21.8,2025-10-15 22:22:12.820836,2025-10-15 22:23:20.130535,0 days 00:01:07.309699,128,0.0038578967106453177,adam,cosine,1.1087536113877353e-05,PRUNED
16,17.52,2025-10-15 22:23:20.131914,2025-10-15 22:24:14.693254,0 days 00:00:54.561340,512,0.0010222918612058664,adam,cosine,0.00018395830599086304,PRUNED
17,25.21,2025-10-15 22:24:14.694573,2025-10-15 22:26:06.151239,0 days 00:01:51.456666,512,0.001787408370199967,adamw,cosine,5.571992188924636e-05,COMPLETE
18,19.02,2025-10-15 22:26:06.153618,2025-10-15 22:26:22.539172,0 days 00:00:16.385554,256,0.0007737115562505113,adamw,cosine,1.6668305530007798e-05,PRUNED
19,10.19,2025-10-15 22:26:22.540442,2025-10-15 22:27:18.634337,0 days 00:00:56.093895,256,0.000121994003104492,adam,cosine,0.00010324969566142506,PRUNED
20,23.17,2025-10-15 22:27:18.635597,2025-10-15 22:28:30.756587,0 days 00:01:12.120990,128,0.0006389453065229343,adamw,none,0.00018766870441105796,PRUNED
