number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_dropout2d,params_fc_mid,params_lr,params_optimizer_type,params_scheduler_type,params_weight_decay,state
0,48.89,2025-10-16 09:45:43.654125,2025-10-16 09:53:42.682916,0 days 00:07:59.028791,256,0.34973279224012654,0.16370173320348286,256,0.0005611516415334506,adam,cosine,0.0007969454818643932,COMPLETE
1,47.07,2025-10-16 09:53:42.688928,2025-10-16 10:01:27.829199,0 days 00:07:45.140271,128,0.15990213464750794,0.2542703315240835,256,0.0002310201887845295,adamw,cosine,2.3270677083837777e-05,COMPLETE
2,43.73,2025-10-16 10:01:27.831709,2025-10-16 10:09:15.499489,0 days 00:07:47.667780,128,0.13661147045343366,0.2485530730333811,192,0.0015304852121831463,adam,none,1.2385137298860926e-05,COMPLETE
3,41.06,2025-10-16 10:09:15.504009,2025-10-16 10:16:48.986785,0 days 00:07:33.482776,512,0.2793699936433256,0.37656227050693514,192,0.00011715937392307068,adamw,none,0.000658628931758311,COMPLETE
4,44.39,2025-10-16 10:16:48.989751,2025-10-16 10:24:40.148087,0 days 00:07:51.158336,128,0.12236519310393126,0.3960660809801553,256,0.00015030900645056822,adamw,cosine,2.4658447214487366e-05,COMPLETE
5,36.46,2025-10-16 10:24:40.151113,2025-10-16 10:25:48.833655,0 days 00:01:08.682542,128,0.19926940745579477,0.1190675050858071,192,0.0035033984911586884,adamw,none,2.497073714505272e-05,PRUNED
6,36.01,2025-10-16 10:25:48.835021,2025-10-16 10:27:36.078099,0 days 00:01:47.243078,512,0.25681984881459824,0.2282623055075649,192,0.0004187594718900631,adam,cosine,4.4706085467784903e-05,PRUNED
7,36.6,2025-10-16 10:27:36.079961,2025-10-16 10:29:25.117320,0 days 00:01:49.037359,128,0.1869254358741304,0.14836638617620135,128,0.0001124186209579306,adamw,none,1.6435497475111308e-05,PRUNED
8,30.27,2025-10-16 10:29:25.119279,2025-10-16 10:31:05.120789,0 days 00:01:40.001510,128,0.16838054876258252,0.2281323365878769,128,0.007234279845665418,adamw,cosine,0.00041327654594663655,PRUNED
9,28.95,2025-10-16 10:31:05.122180,2025-10-16 10:55:28.342732,0 days 00:24:23.220552,512,0.20908888071378823,0.3915346248162882,256,0.00432543242796456,adamw,cosine,0.0005265761277157427,PRUNED
