number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_lr,params_optimizer_type,params_scheduler_type,params_weight_decay,state
0,28.23,2025-10-15 21:21:17.393765,2025-10-15 21:22:35.194957,0 days 00:01:17.801192,256,2048,0.0005611516415334506,adam,cosine,0.0007969454818643932,COMPLETE
1,18.49,2025-10-15 21:22:35.198170,2025-10-15 21:23:44.518582,0 days 00:01:09.320412,512,2048,0.004622589001020831,adamw,none,2.6587543983272695e-05,COMPLETE
2,25.9,2025-10-15 21:23:44.520900,2025-10-15 21:25:10.045167,0 days 00:01:25.524267,128,1024,0.000816845589476017,adamw,cosine,0.00037183641805732076,COMPLETE
3,24.84,2025-10-15 21:25:10.049273,2025-10-15 21:26:19.616660,0 days 00:01:09.567387,256,512,0.0004066563313514797,adam,none,1.5679933916722995e-05,COMPLETE
4,27.14,2025-10-15 21:26:19.621483,2025-10-15 21:27:36.967097,0 days 00:01:17.345614,256,2048,0.0012399967836846098,adam,cosine,2.3426581058204037e-05,COMPLETE
5,23.32,2025-10-15 21:27:36.970622,2025-10-15 21:27:57.454099,0 days 00:00:20.483477,256,512,0.0005989003672254305,adam,none,3.488976654890367e-05,PRUNED
6,20.4,2025-10-15 21:27:57.455184,2025-10-15 21:28:50.753856,0 days 00:00:53.298672,512,512,0.00010257563974185662,adamw,cosine,0.0004274869455295214,PRUNED
7,26.77,2025-10-15 21:28:50.755547,2025-10-15 21:30:35.713701,0 days 00:01:44.958154,512,1024,0.0004187594718900631,adam,cosine,4.4706085467784903e-05,COMPLETE
8,22.07,2025-10-15 21:30:35.716564,2025-10-15 21:30:49.922237,0 days 00:00:14.205673,512,2048,0.0011103647313054626,adamw,none,7.162786999897333e-05,PRUNED
9,26.8,2025-10-15 21:30:49.923525,2025-10-15 21:32:41.096376,0 days 00:01:51.172851,256,1024,0.00028681134821030097,adam,cosine,1.425475704402744e-05,COMPLETE
10,22.22,2025-10-15 21:32:41.102151,2025-10-15 21:32:57.288034,0 days 00:00:16.185883,256,2048,0.000833054768399784,adam,cosine,0.0007020852297235804,PRUNED
11,28.0,2025-10-15 21:32:57.289364,2025-10-15 21:34:55.732531,0 days 00:01:58.443167,256,2048,0.00021021189738292453,adam,cosine,8.615952981975742e-05,COMPLETE
12,27.36,2025-10-15 21:34:55.738276,2025-10-15 21:36:13.004394,0 days 00:01:17.266118,256,2048,0.00013323321766420192,adamw,cosine,9.712381059096086e-05,COMPLETE
13,23.1,2025-10-15 21:36:13.006978,2025-10-15 21:36:27.996891,0 days 00:00:14.989913,256,1024,0.0002083594909456747,adam,cosine,0.0009349158743006326,PRUNED
14,27.28,2025-10-15 21:36:27.998406,2025-10-15 21:38:25.706634,0 days 00:01:57.708228,256,2048,0.00033194751665788485,adam,cosine,7.709115705308974e-05,COMPLETE
15,28.18,2025-10-15 21:38:25.709113,2025-10-15 21:40:01.116564,0 days 00:01:35.407451,128,2048,0.0001402135969326419,adam,cosine,0.0003025264800093955,COMPLETE
